id,week,home_id,home_team,home_points,away_id,away_team,away_points
401426532,1,98,Western Kentucky,38,2046,Austin Peay,27
401405059,1,77,Northwestern,31,158,Nebraska,28
401439512,1,125762,Florida Memorial University,39,2206,Edward Waters,34
401413213,1,55,Jacksonville State,42,2617,Stephen F. Austin,17
401413256,1,2439,UNLV,52,304,Idaho State,21
401405058,1,356,Illinois,38,2751,Wyoming,6
401404146,1,328,Utah State,31,41,Connecticut,20
401411090,1,52,Florida State,47,2184,Duquesne,7
401423448,1,2011,Alabama State,23,47,Howard,13
401426530,1,2226,Florida Atlantic,43,2429,Charlotte,13
401422922,1,2382,Mercer,63,2413,Morehead State,13
401411091,1,153,North Carolina,56,50,Florida A&M,24
401426531,1,2638,UTEP,13,249,North Texas,31
401409235,1,166,New Mexico State,12,2440,Nevada,23
401403853,1,62,Hawai'i,10,238,Vanderbilt,63
401437007,1,2424,New Mexico Highlands,18,2201,Eastern New Mexico,34
401433043,1,2583,Southern Connecticut State,7,2974,Shepherd,48
401432134,1,2134,Clarion,14,2699,West Liberty,21
401416568,1,2006,Akron,30,2598,St Francis (PA),23
401421137,1,2097,Campbell,29,2643,The Citadel,10
401431978,1,2804,Chowan,3,122666,Barton College,17
401431561,1,129,Saginaw Valley,72,455,WV Wesleyan,0
401431571,1,308,Ashland,31,587,Notre Dame College,14
401431542,1,2392,Michigan Tech,23,272,Wisconsin-Platteville,13
401430722,1,2839,Tusculum,70,395,St. Augustine's,13
401430716,1,124180,Bluefield,35,2304,Johnson C Smith,34
401428480,1,2681,Wagner,31,2230,Fordham,48
401418776,1,282,Indiana State,17,2453,North Alabama,14
401432987,1,2858,California (PA),35,2986,Fairmont State,15
401411092,1,221,Pittsburgh,38,277,West Virginia,31
401438604,1,2842,UVA-Wise,41,366,Ferrum,9
401432412,1,2817,Minnesota St-Moorhead,14,2894,Sioux Falls,27
401424402,1,160,New Hampshire,31,2405,Monmouth,21
401438660,1,6353,Lakeland University,20,2286,Illinois College,38
401432119,1,341,Frostburg State,21,2022,American International,7
401432239,1,2241,Gardner-Webb,56,2336,Limestone,21
401431849,1,2673,Valdosta State,36,126110,Keiser University,21
401430986,1,2398,Millsaps,21,2056,Belhaven College,49
401431214,1,2651,Trine,38,2023,Anderson (IN),0
401415610,1,2116,UCF,56,2569,South Carolina State,10
401416569,1,197,Oklahoma State,58,2117,Central Michigan,44
